open_time,open,high,low,close,volume
1.64232E+12,43202.21,43305,42759,42968.29,4708.53834
1.64233E+12,42968.3,43416.05,42581.79,43219.53,5325.20803
1.64235E+12,43219.54,43475,42790.02,42824.79,3290.4155
1.64236E+12,42824.79,43263.15,42750.25,43071.66,2230.78438
1.64238E+12,43071.66,43176.18,42624.11,42647.4,3067.15941
1.64239E+12,42647.4,42967.99,42300,42656.03,4316.07881
1.64241E+12,42656.03,42900,42567.93,42671.31,3521.25336
1.64242E+12,42671.3,42793.16,42385,42477.66,4178.38817
1.64244E+12,42477.67,42538.47,41822.74,42238.31,8112.80827
1.64245E+12,42238.31,42392.66,41540.42,42201.62,4366.39811
1.64246E+12,42201.63,42436.66,41972.71,42040.54,4550.36015
1.64248E+12,42040.53,42337.3,41886.25,42061.94,4135.11603
1.64249E+12,42065.42,42065.42,41453,41854.14,6023.27637
1.64251E+12,41854.13,41950,41250,41587.27,6280.61407
1.64252E+12,41587.26,41799.08,41381.66,41699.61,3767.4442
1.64254E+12,41695.59,42691,41500.99,42352.12,4567.27175
1.64255E+12,42352.12,42500,41582.99,41706.41,4538.39603
1.64256E+12,41706.41,41849.94,41161.2,41287.1,4837.49022
1.64258E+12,41287.1,42178.48,41138.56,42033,6485.56373
1.64259E+12,42033,42559.13,41832.13,41981.27,7218.70307
1.64261E+12,41981.27,42355.9,41697.46,41873.79,5457.34151
1.64262E+12,41872.45,41993.98,41548,41660.01,3148.22703
1.64264E+12,41660,42082.26,41639.88,41924.97,3240.94302
1.64265E+12,41924.97,42148,41768.48,42058.31,3602.56211
1.64267E+12,42058.31,42232.76,41807.94,42129.44,3148.83581
1.64268E+12,42129.45,43456,41900.05,43308.69,10872.70214
1.64269E+12,43308.7,43505,42805,42917.32,6495.57509
1.64271E+12,42917.31,42996.64,40553.31,40680.91,14969.72136
1.64272E+12,40680.92,41100,38220,38465.65,21282.97975
1.64274E+12,38465.65,39177.2,38437.15,39134.55,9944.04301
1.64275E+12,39136.31,39320,38668.19,38898.18,6699.133
1.64277E+12,38898.19,39042.4,37710,38857.26,16377.23138
1.64278E+12,38857.24,39071.13,37850,37984.12,8202.7099
1.6428E+12,37984.11,38470,35440.45,36445.31,26354.79495
1.64281E+12,36445.31,36835.22,36009.98,36341.64,12970.56975
1.64282E+12,36340.43,36423.82,35112.84,35400.02,15700.14717
1.64284E+12,35400.01,35948.01,34008,35406.76,27869.63503
1.64285E+12,35406.76,36192.76,34805.32,34838.68,13764.18535
1.64287E+12,34838.69,35501.96,34243.38,34528.62,11909.55801
1.64288E+12,34528.61,35729.03,34415.95,35071.42,8257.24365
1.6429E+12,35071.42,35526.28,34811,35051,5314.38133
1.64291E+12,35051.01,35758.64,34940.09,35571.19,7954.12458
1.64292E+12,35571.19,36150.76,35325.03,35686.29,9612.66388
1.64294E+12,35686.29,36080.5,35050.4,35287.58,6581.33332
1.64295E+12,35282.66,35450,34601.01,34775.45,5880.32181
1.64297E+12,34775.45,36499,34707.58,36244.55,8936.69862
1.64298E+12,36244.55,36251.5,35160.51,35338.26,7165.42052
1.643E+12,35338.25,35473.45,34811.87,34888.81,4977.80812
1.64301E+12,34887.9,35562.15,33029.54,33697.11,23802.1165
1.64303E+12,33697.12,34388.38,32917.17,34233.95,22498.49792
1.64304E+12,34237.31,36436,33803.13,36066.4,21817.53204
1.64305E+12,36066.4,37550,35951.13,36660.35,11643.37812
1.64307E+12,36660.35,36691.87,35955.43,36424.49,6255.52219
1.64308E+12,36424.5,36496.62,35701,36044.01,5943.09862
1.6431E+12,36044.01,36800,36003.3,36406,8110.56818
1.64311E+12,36406,37149.42,35967.33,36530,13684.1698
1.64313E+12,36530,37545.14,36492.48,37067.13,9955.53936
1.64314E+12,37067.13,37103.15,36421.56,36958.32,5283.50368
1.64316E+12,36958.32,37522.24,36550.2,37389.76,6842.03768
1.64317E+12,37389.77,37974.43,37109.37,37338.59,8374.59822
1.64318E+12,37338.6,38248.92,37324.58,38072.77,9307.93892
1.6432E+12,38072.77,38499,37475.01,37985,12793.04941
1.64321E+12,37985.01,38919.98,37311.58,37579.9,19388.99139
1.64323E+12,37576.67,37580.03,36234.63,36809.34,13123.54474
1.64324E+12,36807.24,37080,35507.01,35745.7,10776.58699
1.64326E+12,35745.7,36303.8,35692.61,36173.87,8841.21015
1.64327E+12,36177.17,36781.79,35815.8,36679.98,7499.79721
1.64328E+12,36679.98,37199,36423.46,36639.43,8665.06124
1.6433E+12,36639.43,36787.77,35883.82,36209.2,6915.06301
1.64331E+12,36209.19,37234.47,35538.75,37160.1,10323.16074
1.64333E+12,37160.11,37467.98,36500,37351.83,8117.63862
1.64334E+12,37351.83,37500,36777.77,36799.82,6574.94579
1.64336E+12,36799.82,36882.22,36287.03,36448.28,6628.45526
1.64337E+12,36447.67,37300,36155.01,37188.98,9825.07956
1.64339E+12,37188.99,37376.7,36765.05,37222.86,5339.26276
1.6434E+12,37222.85,38000,37134.65,37716.56,5668.88757
1.64341E+12,37716.57,37983.41,37448.58,37737.73,4115.15883
1.64343E+12,37737.72,37925,37589.44,37836.99,3427.98801
1.64344E+12,37836.98,37923,37544.94,37736.07,2819.87215
1.64346E+12,37736.06,38198.82,37268.44,37566.82,6404.9232
1.64347E+12,37567.98,37950,37317.37,37853,3330.83069
1.64349E+12,37853,38720.74,37816.21,38166.84,6030.72394
1.6435E+12,38166.83,38281.24,37737.49,37917.13,3377.96921
1.64352E+12,37917.13,38300,37901.17,38244.98,2678.99042
1.64353E+12,38244.98,38359.26,37795,38110.02,4712.87374
1.64354E+12,38110.03,38153.82,37712.05,37980.09,2934.1298
1.64356E+12,37977.47,38074.76,37442.52,37512.37,3351.24867
1.64357E+12,37512.37,38230,37351.63,37881.76,4375.45343
1.64359E+12,37881.75,37951.07,36632.61,37025.68,7138.36907
1.6436E+12,37025.68,37196.91,36811.48,37121.83,3148.35918
1.64362E+12,37121.84,37399.93,36880,37265.16,4020.70047
1.64363E+12,37265.15,37900,36724,37722.91,8990.81294
1.64364E+12,37722.91,38744,37671.46,38415.79,9491.10461
1.64366E+12,38415.79,38737.99,38236.69,38466.9,4065.89953
1.64367E+12,38466.9,38649.9,38175.86,38596.82,3549.58405
1.64369E+12,38596.82,38644.57,38240,38440.77,3416.90805
1.6437E+12,38440.76,39100,38000,38425.06,8201.00865
1.64372E+12,38425.05,39034.47,38190.42,38630.33,8820.81241
1.64373E+12,38630.32,39265.2,38341.06,38378.09,7309.57506
1.64375E+12,38378.1,38889,38369,38694.59,3276.55841
1.64376E+12,38694.59,38855.92,38374.78,38552.87,3300.89167
1.64377E+12,38552.87,38555.33,38196.42,38284.69,3743.58713
1.64379E+12,38282.14,38597.95,38225,38490,3440.8378
1.6438E+12,38490,38773.41,37361.49,37429.78,10461.69509
1.64382E+12,37429.78,37674.34,37066.66,37566.56,6853.10313
1.64383E+12,37566.56,37662.14,36586.95,36896.36,7994.56648
1.64385E+12,36896.37,37049.65,36720.01,36820.83,4617.34607
1.64386E+12,36822.5,37093.03,36780.04,37024.16,4603.39848
1.64388E+12,37024.16,37106.91,36250.73,36785,6375.43998
1.64389E+12,36785,36976.89,36250,36910.05,6871.90736
1.6439E+12,36910.06,37104.6,36449.43,36551.7,4410.35527
1.64392E+12,36551.71,37387,36270,37311.61,5202.66283
1.64393E+12,37311.98,37445.5,37026.73,37297.62,5055.04806
1.64395E+12,37297.61,38222,37245,37869.31,8027.55596
1.64396E+12,37869.31,38236.08,37763.74,37810,5816.12565
1.64398E+12,37810,39819.91,37290.2,39490.87,20274.09013
1.64399E+12,39490.88,40877,39442.89,40727.91,17077.62952
1.644E+12,40727.92,41772.33,40382.84,41574.25,8453.50942
1.64402E+12,41571.7,41913.69,41173.36,41447.85,8208.78852
1.64403E+12,41447.85,41748.18,41369.69,41379.99,4611.24918
1.64405E+12,41379.99,41669,41099.92,41430,5220.42031
1.64406E+12,41430,41899.54,41326.17,41761.85,6016.92671
1.64408E+12,41761.87,41854.81,40843.01,41544.9,5915.46066
1.64409E+12,41544.9,41771.85,41349.81,41382.59,2559.49834
1.64411E+12,41382.6,41640,41340.35,41444.04,2064.25705
1.64412E+12,41444.03,41714.18,41305.29,41612.33,2267.93171
1.64413E+12,41612.32,41700.01,41444,41522,2030.31116
1.64415E+12,41522,42168,41116.56,41519.49,7364.57563
1.64416E+12,41519.48,41747.4,41417.23,41717.94,2735.98951
1.64418E+12,41717.93,42656,41478.86,42380.87,5942.10198
1.64419E+12,42380.87,42944.2,41645.85,42818.99,9921.46732
1.64421E+12,42819,43000,42551.96,42723.92,5908.75547
1.64422E+12,42723.91,42767.69,42234.09,42720.03,5775.99721
1.64424E+12,42720.03,43895.02,42490.02,43835.59,11355.37938
1.64425E+12,43835.59,44500.5,43484.91,44252.8,12059.29967
1.64426E+12,44252.31,44438.93,43742.9,43839.99,6039.72101
1.64428E+12,43839.99,44185,43555.72,44178.57,6089.41865
1.64429E+12,44178.57,45492,44073.73,44855,12482.11456
1.64431E+12,44855,44919.77,43520.96,43988.3,16705.18579
1.64432E+12,43988.3,43988.31,42854.81,43429.31,12432.46818
